Visuele cultuur: Kunst in historische context,Koenraad Jonckheere,3,A002874
Christendom,Danny Praet,5,A002907
Sanskrit I,Eva De Clercq,5,A002908
Sanskrit II,Eva De Clercq,5,A002909
Sanskrit III,Charles DiSimone,5,A002910
Sanskrit IV,Charles DiSimone,5,A002911
Hindi III,Daniela De Simone,8,A002914
Hindi IV,Daniela De Simone,7,A002915
Hindi V,Daniela De Simone,10,A002916
Hindi VI,Daniela De Simone,5,A002917
Religious Traditions of India,Eva De Clercq,5,A002924
Geschiedenis van China,Ann Heirman,5,A002925
History of Japan,Christian Uhl,5,A002930
Society and Current Affairs: Japan,Andreas Niehaus,5,A002931
Linguistic Research: East Asian Languages,Christoph Anderl,5,A002936
Modern Chinees III,Bart Dessein,8,A002943
Modern Chinees IV,Bart Dessein,7,A002944
Modern Chinees V,Bart Dessein,10,A002945
Stage,Marjan Sterckx,10,A002955
Historische economie,Thijs Lambrecht,5,A002959
Academic English,Geert Jacobs,3,A003001
Technology and Conservation of the Visual Arts,Jaya Remond,5,A003023
Xiandai Hanyu (Modern Chinees),Bart Dessein,10,A003038
Gudai Hanyu (Klassiek Chinees),Bart Dessein,5,A003039
Jingmao Hanyu (Economisch Chinees),Bart Dessein,5,A003040
Society and Current Affairs: China,Bart Dessein,5,A003042
East Asian Ideologies,Christoph Anderl,5,A003043
Zhongguo wenxue (Chinese literatuur),Bart Dessein,5,A003044
Modern Japans III,Andreas Niehaus,8,A003047
Modern Japans IV,Andreas Niehaus,7,A003048
Advanced Academic English,Geert Jacobs,3,A003107
Sociale politiek in Europa sinds 1750,Christophe Verbruggen,5,A003108
Modern Japans VI,Andreas Niehaus,8,A003213
Modern Japans V,Andreas Niehaus,7,A003214
Korean Language and Culture I,Andreas Niehaus,5,A003233
Korean Language and Culture II,Andreas Niehaus,5,A003234
Pre- en protohistorie,Guy De Mulder,5,A003300
Archeologie van de historische periodes,Wim De Clercq,5,A003301
Inleiding tot de Griekse en Romeinse archeologie en kunst,Sadi Maréchal,5,A003302
Archeologie van het Nabije Oosten,Nadine Nys,5,A003303
Algemene inleiding tot de archeologie,Hans Vandendriessche,5,A003304
Inleiding tot de wereldarcheologie,Peter Vandenabeele,5,A003305
Inleiding tot prospectie en opgravingstechnieken,Hans Vandendriessche,6,A003306
Inleiding tot de natuurwetenschappen in de archeologie,Peter Vandenabeele,6,A003307
Ecologische archeologie,Dirk Verschuren,5,A003308
Inleiding tot de bodemkunde,Marijn Bauters,5,A003309
Academische vaardigheden I,Roald Docter,3,A003312
Academische vaardigheden II,Roald Docter,3,A003313
Veldwerk I,Wim De Clercq,6,A003314
Veldwerk II,Roald Docter,6,A003315
Inleiding tot de materiaalstudie,Wim De Clercq,5,A003316
Buitenlands veldwerk,Wim De Clercq,5,A003317
Prehistorie van Noordwest-Europa,Hans Vandendriessche,5,A003318
Archeologie van de Provinciaal-Romeinse Tijd,Michiel Dekoninck,5,A003321
Archeologie van Griekenland,Roald Docter,5,A003323
Archeologie van het Oude Nabije Oosten: van het Proto-Neolithicum tot de Bronstijd,Peter Vandenabeele,5,A003325
Practicum: materiële cultuur van de Steentijden,Hans Vandendriessche,3,A003327
Practicum: materiële cultuur van de Provinciaal-Romeinse Tijd,Michiel Dekoninck,3,A003332
Practicum: materiële cultuur van de Griekse Oudheid ,Roald Docter,3,A003334
Practicum: materiële cultuur van het Oude Nabije Oosten ,Peter Vandenabeele,3,A003335
Onderzoekstaak,Hans Vandendriessche,5,A003379
Geschiedenis van de hedendaagse wijsbegeerte,Bart Vandenabeele,5,A003400
Politieke filosofie,Patrick Loobuyck,5,A003401
Grondige studie van vraagstukken uit de sociale en politieke filosofie,Sigrid Sterckx,5,A003402
Sexual and Relational Ethics,Tom Claes,5,A003403
Filosofie van de religie,Annelies Lannoy,5,A003404
Geschiedenis van de antieke wijsbegeerte,Benjamin De Vos,5,A003406
Geschiedenis van de middeleeuwse wijsbegeerte,Danny Praet,5,A003407
Geschiedenis van de moderne wijsbegeerte,Gertrudis Van de Vijver,5,A003408
Teksten uit de antieke en middeleeuwse wijsbegeerte,Danny Praet,5,A003409
Masterproef,Tom Claes,20,A003412
Bachelorproef,Aleksey Yudin,5,A003700
Lingála I,Michael Meeuwis,5,A003805
Lingála II,Michael Meeuwis,5,A003806
Lingála III,Michael Meeuwis,5,A003807
Lingála IV,Michael Meeuwis,5,A003808
Taaldocumentatie en taalbeschrijving in Afrika,Gilles-Maurice de Schryver,5,A003810
Program of Study: Africa,Inge Brinkman,25,A003822
Masterproef,Marjan Sterckx,20,A003903
Beeld als historische bron,Anne-Laure Van Bruaene,5,A004000
Narratologie en discoursanalyse,Berber Bevernage,5,A004001
Mondelinge geschiedenis,Koen Aerts,5,A004003
Historische teksten,Maxim Hoffman,5,A004005
Inleiding tot het historisch onderzoek,Koenraad Verboven,5,A004006
Vergelijkende rurale geschiedenis,Thijs Lambrecht,5,A004007
Gendergeschiedenis,Gita Deneckere,5,A004008
Geschiedenis en theorie van de internationale betrekkingen in het Ancien Regime,Maxim Hoffman,5,A004009
Heuristiek: Moderne en Hedendaagse Tijd,Dimitri Roden,5,A004016
Historische praktijk III: onderzoekstaak,Peter Van Nuffelen,10,A004035
Onderzoeksseminarie: oude geschiedenis,Andries Johan Zuiderhoek,5,A004041
Onderzoeksseminarie: middeleeuwse geschiedenis,Steven Vanderputten,5,A004042
Onderzoeksseminarie: vroegmoderne geschiedenis,Michael Limberger,5,A004043
Onderzoeksseminarie: sociale geschiedenis na 1750,Antoon Vrints,5,A004044
Onderzoeksseminarie: stadsgeschiedenis,Andries Johan Zuiderhoek,5,A004046
Onderzoeksseminarie: geschiedenis van Afrika,Gillian Mathys,5,A004049
Masterproef,Thijs Lambrecht,30,A004050
Praktijkstage: publieksgeschiedenis,Jeroen Deploige,5,A004061
Onderzoeksproject,Lieve Van Hoof,5,A004062
De Middeleeuwen en de moderne wereld ,Niels Fieremans,5,A004065
Ecologische geschiedenis,Christophe Verbruggen,5,A004069
Kwantitatieve onderzoekstechnieken in de taalwetenschap,Klaas Willems,5,A004200
Contrastive Linguistics: Syntax & Lexicon,Bernat Bardagil Mas,6,A004225
Bedrijfscommunicatie in het Duits,Anne Breitbarth,3,A004300
Masterproef,Aymon Kreil,15,A004410
Onderzoekstaak,An Van Raemdonck,10,A004427
Book History,Marianne Van Remoortel,5,A004501
Masterproef,Giovanbattista Galdi,15,A004504
Literatuur in het culturele veld,Daan Vandenhaute,5,A004507
Masterproef,Caroline Janssen,15,A004508
Stage: archeologisch veldwerk,Guy De Mulder,6,A005028
Stage: archeologische onderzoeksstage,Wim De Clercq,6,A005029
3D archeologische acquisitie,Alain De Wulf,3,A005032
Methodologie I,Pieter Troch,3,A005049
Russisch semester,Pieter Troch,25,A005051
Zuid-Slavisch taalsemester,Pieter Troch,25,A005052
Stage,Ben Dhooge,10,A005068
Masterproef,Aleksey Yudin,15,A005077
Onderzoekstaak,Aleksey Yudin,5,A005087
Inleiding tot de archivistiek,Joke Verfaillie,5,A005090
Archivistiek: stage,Joke Verfaillie,5,A005091
Language Policy and Practice,Bart Deygers,6,A005095
"Language, History and Identity in Central and Eastern Africa ",Koen Bostoen,5,A005111
"Literature, Media and the Arts in Central and Eastern Africa ",Olorunshola Adenekan,5,A005112
Gender and Identity in African Literatures,Inge Brinkman,5,A005114
